15min,30min,45min,60min,120min,180min,360min,720min,1440min
30,50,60,60,70,90,110,130,140
90,150,210,230,300,470,680,1000,1280
100,100,100,110,190,260,370,500,620
100,110,170,190,210,210,300,430,470
60,80,100,100,130,170,220,260,260
70,110,140,150,180,200,290,320,320
90,110,140,150,210,240,330,400,400
70,110,130,140,200,250,330,530,620
100,140,150,150,160,260,300,310,370
70,100,150,160,200,230,260,270,270
90,160,190,190,200,240,360,410,510
790,790,790,790,790,790,790,790,820
70,100,110,120,150,180,250,270,280
150,150,160,170,220,280,370,430,430
170,170,170,180,190,220,230,300,440
70,90,130,160,200,230,250,340,380
100,150,190,220,290,300,310,320,380
90,130,160,190,260,300,520,660,810
60,100,110,140,150,190,210,240,240
140,140,160,160,180,200,260,290,460
80,140,160,200,250,350,380,390,510
80,140,170,200,270,290,300,310,380
110,150,150,150,160,210,260,370,440
80,130,160,180,190,220,240,260,300
90,140,180,190,250,280,420,590,630
70,120,160,170,200,220,270,290,300
100,130,150,180,270,280,290,430,460
100,190,260,310,410,410,410,450,640
70,100,130,150,170,180,250,290,320
110,140,140,150,240,360,510,890,980
79,101,159,172,183,202,231,254,277
66,112,156,164,275,309,385,401,413
99,120,134,139,139,153,171,294,329
49,53,71,101,129,135,153,153,153
105,121,123,124,172,210,317,491,651
85,132,164,194,253,328,430,458,545
81,113,136,148,220,256,362,443,458
86,143,167,210,288,315,396,475,510
83,140,191,218,363,434,698,924,1065
49,67,79,79,106,135,151,200,202
