"","Scaling L-mom","Scaling One-NCM","Scaling Three-NCM"
"D_15min",0.0330333545703094,0.0326941988988111,0.013184508578615
"D_30min",0.041677185492923,0.0385405609934398,0.0108220002110483
"D_45min",0.0395983024980572,0.0372535773369429,0.012798694335058
"D_1h",0.0377402838988844,0.0358665421832262,0.0119658801739551
"D_2h",0.0297079310668107,0.026729266459226,0.0118163526984529
"D_3h",0.0290812247809311,0.0257864186298201,0.0159648171015078
"D_6h",0.0233335614003141,0.0216321347036072,0.0199832032351247
"D_12h",0.0210340358839043,0.0226140671856897,0.0243544131488152
"D_24h",0.00942419361272648,0.0151695937680278,0.0151694925081981
